Year,Reported number of Pre-SAC treated,"National coverage, Pre-SAC (%)","Population requiring PC for STH, SAC",Number of SAC targeted,Reported number of SAC treated,"Drug combination, SAC","National coverage, SAC (%)",CountryCode,GDP_per_capita,HealthExp_per_capita,Pct_with_improved_sanitation,Urban_Pop_Pct,ODA_per_capita
2003,1681516.0,70.80276050241481,4387137.0,1562296.0,1256067.0,Pzq+Alb,17.97,AGO,992.698979254665,34.8696785,31.8560605984651,53.645,493500000.0
2003,4962605.0,95.1783340528695,9994445.0,1837406.0,730101.0,"Ivm+Alb, Alb/Mbd",7.3050679652546995,TZA,422.18359375,20.26038742,10.1362371194278,23.611,1725760009.76563
2003,3211114.0,75.13460456290223,7996588.0,4475952.0,7123984.0,Alb/Mbd,89.08779594497052,UGA,250.71543664681,14.2323103,17.0321532501804,16.061,1003710021.97266
2003,5581739.0,100.0,3580694.0,440300.0,1586117.0,"Ivm+Alb, Pzq+Alb",44.29635707491341,BFA,362.373899996953,11.43507481,12.2686574331796,19.996,540840026.855469
2003,935000.0,100.0,1502685.0,1381928.0,230886.0,Ivm+Alb,15.364896834665949,TGO,538.16537776929,15.46995354,10.4570598974873,34.265,50090000.1525879
2003,226377.0,26.777913547286623,1963000.0,1451954.0,1724937.0,Alb - round 2,87.6828763067132,BDI,111.406682804391,6.02923203,45.8472924386413,8.908,227600006.103516
2003,229963.0,5.555946145038841,9985407.0,10484393.0,5038560.0,Mbd,100.0,ZAF,4062.21755993786,288.37631226,62.1815317379067,58.446,642150024.414063
2003,1923909.0,81.39244351334155,4486740.0,3672936.0,6200.0,Mbd,0.1364198845623738,CMR,988.241276791846,38.10652161,38.59076542374,47.338,885619995.117188
2003,694862.0,97.74302405237252,1197559.0,1531834.0,142768.0,Alb/Mbd,11.921583821757425,SLE,413.817666037168,21.89597321,8.39095231627294,36.352,337170013.427734
2003,1725845.0,100.0,2983083.0,1537264.0,218320.0,Mbd,7.318602935285408,SEN,817.888034221442,36.11049652,39.869656149518,40.898,458279998.779297
2003,504026.0,98.04370111441148,1018658.0,542695.0,25536.0,Ivm+Alb,2.460165379068363,CAF,278.403992150941,13.00553608,20.4536056364778,37.884,51500000.0
2003,1336885.0,84.29941288006573,2571728.0,743593.0,27000.0,Pzq+Mbd,1.0498777475689498,TCD,289.087621122168,18.59137535,9.94081051229209,21.735,251990005.493164
2003,883283.0,74.61238067322223,2333798.0,3325950.0,2454947.0,Alb - round 1,99.94333029765028,RWA,249.012274982252,17.29731369,49.4007987176777,16.904,335959991.455078
2003,33710.0,50.22572522609771,142805.0,196889.0,97385.0,Dec+Alb,68.19439095269773,COM,959.787894504834,63.81992722,31.6201289990803,27.947,24610000.6103516
2003,4200000.0,22.24922972636944,35526020.0,3260446.0,840480.0,Ivm+Alb,2.365815253158108,NGA,763.388745367223,39.0772438,29.3592591376198,37.356,309850006.103516
2003,2244182.0,100.0,3483230.0,4396936.0,155421.0,Ivm+Alb,4.299446707757626,NER,265.225363452469,12.44939899,7.0044098515518,16.251,481019989.013672
