Unnamed: 0,CountryCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
4,AGO,563.733795571487,533.586202412447,882.147847234303,992.698979254665,1266.21086410236,1916.46842218625,2617.05196022633,3141.0459797605,4103.0669003635,3136.64546955947,3597.34293216332,4615.91059831778,5086.02740086376,5057.74787833163,5005.9997412707,3213.90261080059,1807.95294072643,2437.25971190821,2538.59139143371,2189.85571407618,1449.92286669308,1925.87466082167,2929.69445467272,2308.15976731274
16,BDI,134.537861752389,132.159554541932,120.952308575468,111.406682804391,125.194965184533,147.234619294225,161.892755640319,166.162744906755,189.502074570768,199.097633037708,216.727705301976,230.070577369084,231.688496393569,234.843045388828,250.540481111877,280.966831311923,235.286205393908,236.694472592753,224.89939239264,210.236494521532,210.008139902508,214.091455416133,250.634225368744,193.007145564804
18,BEN,487.424141384242,492.401499509072,546.463829658159,676.002878084282,758.695803786371,779.437777753268,809.147072506221,912.338247188342,1060.60254502099,1024.10277858112,973.244254493089,1059.41358915783,1071.52583567484,1168.92699314206,1204.39918700511,1002.41886882564,1010.53389609187,1054.97408141687,1151.74096952152,1130.82135304977,1197.50136428063,1318.83497843483,1264.70765976655,1394.37330217623
19,BFA,248.908526921752,259.485223380436,285.654087637533,362.373899996953,403.81283743461,441.164148016012,455.513655620024,514.684451177238,619.437533256264,601.569520671859,624.957252224766,725.024767725475,731.470138867833,759.762065168498,764.861675106225,630.124750752312,663.742364842886,709.091535894695,777.465618514048,764.853077774946,825.237038782475,895.535288442991,836.118304593682,882.689810086163
33,BWA,3450.81180622992,3206.07123689853,3117.25087183011,4230.12326909926,4956.69287735214,5391.07076619634,5291.58379144849,5529.12574632532,5503.07395314313,5082.93388332404,6215.73216077919,7287.38295334919,6595.53845015424,6666.91219583487,7122.36423421503,6141.20394726616,6749.05994339013,7104.96401088027,7407.95940141786,7172.08956480028,6323.31419156209,7808.20623956293,8329.04032229144,7820.23240375076
34,CAF,239.154133726071,237.951702544735,248.639290978403,278.403992150941,303.461321152782,311.950023138687,333.942519903031,380.887048839475,437.24827472489,456.471673898404,476.873786950728,534.057281471636,544.395849142785,364.36696260838,409.8504859647,366.322853938121,387.176203444318,432.324025684263,455.243962859534,449.228467602439,462.879071294011,492.263142830507,467.359825026238,495.978897153068
41,CIV,936.636541348798,924.727294962066,967.815864415991,1111.17135087887,1199.82524528546,1197.74616979415,1230.43056838584,1367.53817722326,1583.97066701372,1540.45393569596,1553.54887048143,1596.62826565998,1546.9460184731,1786.15862031324,1991.36539423404,1814.71855088017,1862.59597081287,1964.29930338343,2130.86619381144,2141.76836170115,2179.72934832935,2455.98127641148,2308.70654660366,2530.84659301723
42,CMR,708.565731625965,715.470296470585,789.623811072554,988.241276791846,1133.39326749673,1142.62466252106,1191.45458990968,1325.67248215933,1492.14269801453,1461.38999232337,1398.58702025047,1513.96056994878,1449.09874362279,1575.92882118897,1649.4433905949,1415.00009710569,1441.7201725688,1496.08951771242,1610.69641591017,1555.22660476477,1555.60370660749,1672.32657340872,1604.87726954895,1736.86091073524
43,COD,377.925421481395,142.678142604412,162.38052907429,161.491553524396,180.664764963633,203.561668860749,238.417639415512,267.88850879878,307.319638606745,280.798051526498,314.53858629844,364.714191777632,400.059901824342,431.191528160935,458.004541775676,467.9145805459,442.310472110228,436.584534687385,528.256019777898,557.044161335917,507.521230077872,558.034077296358,642.612265820033,627.502181690836
44,COG,1024.30159109181,854.598314408095,905.538135544704,1016.82363412143,1306.10136324599,1799.05158366154,2103.5821381211,2206.47101863414,2832.09177777643,2271.15219175966,2946.55798067708,3396.16505817952,3732.32737320389,3697.41705884249,3601.2365808718,2439.35189403696,2093.10728558843,2211.63309874797,2694.43413191427,2488.42466724916,1993.586671931,2516.16255145432,2620.83804267402,2477.97845544866
46,COM,655.007796688241,691.699908770798,762.116930318449,959.787894504834,1091.27216412426,1103.20658498402,1154.90422349749,1289.73631056361,1455.02768595586,1410.30516959473,1386.5742428453,1531.43789372951,1490.31511351281,1603.32797107303,1615.71723662012,1329.37048235986,1365.48403444497,1423.9248027797,1540.71132257526,1519.26386436068,1527.16991011916,1584.12450153608,1489.49566257969,1590.31237688317
47,CPV,1189.51479345891,1223.33055331575,1328.57874270666,1717.97565369655,1929.49081468781,2004.14680417563,2256.99666191075,3324.57675212498,3908.64885822576,3659.72046361628,3579.46006137809,4002.01386888785,3736.81517011087,3960.97596791345,3985.60706548134,3415.06266730931,3608.96606551232,3893.09572292025,4294.96510456428,4380.7811916403,3539.22662027109,3971.4440744985,4323.31362665974,4850.98415849643
60,DZA,1772.92869122761,1896.30020878013,1937.46411413019,2283.77299346126,2816.99384960555,3233.13339634212,3660.66104745322,4167.45169937531,5180.91881514686,4235.42990456612,4912.78585503672,5916.31364364343,6033.64884689543,5979.60138960585,6094.69392314956,4685.05902729002,4424.98529027556,4554.66753957828,4577.21029180491,4468.45341883656,3743.5419522929,4160.55926736925,4961.55257664733,5364.02795022731
69,ERI,314.357396753501,325.409161513593,304.775756465092,348.950327077742,426.840947887032,412.753079199423,447.997404727201,480.44762365456,490.066956003333,642.92572288007,539.699512069686,688.68165957684,688.68165957684,688.68165957684,688.68165957684,688.68165957684,688.68165957684,688.68165957684,688.68165957684,688.68165957684,688.68165957684,688.68165957684,688.68165957684,688.68165957684
