Year,Population requiring PC for LF,Mapping status,Type of MDA,Current status of MDA,Number of IUs covered,Geographical coverage (%),Total population of IUs,Reported number of people treated,Programme (drug) coverage (%),National coverage (%),CountryCode
2014,11650319.0,Completed,IVM + ALB,Ongoing,41,100,8104933,8202072,101.19851700192956,70.40212375300625,BFA
2014,8351297.0,Completed,IVM + ALB,Ongoing,6,12,944057,662895,70.21768812688217,7.937629328713851,SEN
2014,12090000.0,In progress,IVM + ALB,Not started,,,,,,,AGO
2014,3603390.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,KEN
2014,6067135.0,Completed,IVM + ALB,Ongoing,4,16.666666666666664,1145792,956726,83.4990993129643,15.768991459725223,GIN
2014,10236777.0,Completed,IVM + ALB,Ongoing,28,100,8189428,7165277,87.49423036627222,69.99543899412872,NER
2014,2938370.0,Completed,IVM + ALB,No MDA,0,0,0,0,0,0,LBR
2014,18218250.0,Completed,IVM + ALB,Ongoing,104,100,14392416,13976842,97.1125487201037,76.71890549311816,MOZ
2014,3767037.0,Completed,IVM + ALB,Ongoing,25,92.5925925925926,2182998,1273314,58.32868376425447,33.801473147197655,BEN
2014,6000000.0,In progress,DEC + ALB,Not started,,,,,,,ZWE
2014,17092155.0,Completed,IVM + ALB,Ongoing,13,21.311475409836063,1541568,1445937,93.79651108481754,8.45965298114837,MLI
2014,18349339.0,Completed,DEC + ALB,Ongoing,61,62.244897959183675,11964434,8784209,73.4193443668125,47.87207321201053,MDG
2014,194850.0,Completed,DEC + ALB,Not started,,,,,,,STP
2014,7270000.0,In progress,IVM + ALB,Not started,,,,,,,TCD
2014,,,,Surveillance,,,,,,,MWI
2014,119839648.0,In progress,IVM + ALB,Ongoing,354,64.71663619744058,56438928,42725649,75.70244601385767,35.652348544949,NGA
2014,514110.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,COM
2014,1668680.0,Completed,IVM + ALB,Ongoing,33,28.448275862068968,399237,294761,73.83108279042273,17.66432149962845,GNB
2014,1200000.0,Completed,DEC + ALB,Not started,,,,,,,GMB
2014,13976113.0,Completed,IVM + ALB,Ongoing,48,88.88888888888889,11184941,7633180,68.2451521201587,54.61590071574264,UGA
2014,27752292.0,Completed,DEC + ALB,Ongoing,107,100,20890086,21663918,103.70430260555175,78.06172549640225,TZA
2014,1290600.0,Completed,IVM + ALB,Not started,,,,,,,GAB
2014,2600000.0,In progress,IVM + ALB,Ongoing,5,50,126363,104152,82.4228611223222,4.005846153846154,COG
2014,15998796.0,In progress,IVM + ALB,Ongoing,132,83.01886792452831,11431502,10579526,92.54712110447079,66.12701355777023,CMR
2014,37012273.0,In progress,IVM + ALB,Ongoing,71,30.869565217391305,7996046,7673271,95.96331736960994,20.7316935115009,COD
2014,12602196.0,Completed,IVM + ALB,Ongoing,93,100,10081748,8126475,80.6058135950234,64.48459458970484,GHA
2014,3300000.0,In progress,IVM + ALB,Ongoing,4,50,306310,242741,79.2468414351474,7.355787878787878,CAF
2014,87250.0,Completed,DEC + ALB,Not started,,,,,,,ERI
2014,,,,Surveillance,,,,,,,TGO
2014,8780000.0,In progress,DEC + ALB,No MDA,0,0,0,0,0,0,ZMB
2014,6820160.0,Completed,IVM + ALB,No MDA,0,0,0,0,0,0,SLE
2014,1659558.0,In progress,IVM + ALB,Not started,,,,,,,SSD
2014,10994709.0,Completed,IVM + ALB,Ongoing,33,29.20353982300885,1697049,1475387,86.93838539723956,13.419063660529806,ETH
2014,17385022.0,Completed,IVM + ALB,Ongoing,33,54.09836065573771,7447421,5793572,77.79299706569563,33.325077184256656,CIV
2014,420000.0,Completed,IVM + ALB,Not started,,,,,,,GNQ
2015,1659558.0,In progress,IVM + ALB,Not started,,,,,,,SSD
2015,3300000.0,In progress,IVM + ALB,No MDA,0,0,0,0,0,0,CAF
2015,420000.0,Completed,IVM + ALB,Not started,,,,,,,GNQ
2015,3918406.0,Completed,DEC + ALB,Ongoing,7,58.32999999999999,1800007,977783,54.32106652918572,24.953590822390534,KEN
2015,6976957.0,Completed,IVM + ALB,Ongoing,14,100,6976957,5398483,77.3758961105823,77.3758961105823,SLE
2015,8258869.0,Completed,IVM + ALB,Ongoing,50,100,8258869,4627752,56.03372568326244,56.03372568326244,SEN
2015,69634.0,Completed,DEC + ALB,Not started,,,,,,,ERI
2015,15923224.0,Completed,IVM + ALB,Ongoing,53,96.36,11535870,9713502,84.20259590303982,61.002106106150364,MLI
2015,1290600.0,Completed,IVM + ALB,Not started,,,,,,,GAB
2015,,,,Surveillance,,,,,,,MWI
2015,2787902.0,Completed,IVM + ALB,Ongoing,10,76.9,1701292,1696195,99.70040416342403,60.841270604203444,LBR
2015,514110.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,COM
2015,3898884.0,Completed,IVM + ALB,Ongoing,25,92.59,2828096,1631338,57.68326110570504,41.84115249389313,BEN
2015,188134.0,Completed,DEC + ALB,Not started,,,,,,,STP
2015,18813918.0,Completed,DEC + ALB,Ongoing,61,61.62,12417330,8800912,70.87604178998222,46.778730512166575,MDG
2015,11636753.0,Completed,DEC + ALB,Ongoing,83,97.65,11636765,10737905,92.27568830340735,92.27578345952689,ZMB
2015,10719606.0,Completed,IVM + ALB,Ongoing,36,97.3,8663975,7753388,89.4899627480458,72.32903895908115,UGA
2015,3181835.0,Completed,IVM + ALB,Not started,,,,,,,TCD
2015,26962041.0,Completed,IVM + ALB,Ongoing,96,100,26962041,19715866,73.12453089141138,73.12453089141138,TZA
2015,,,,Classified as non-endemic,,,,,,,GMB
2015,37012273.0,In progress,IVM + ALB,Ongoing,84,36.52,14483749,11288740,77.94073205770135,30.49999117860176,COD
2015,984485.0,Completed,IVM + ALB,Ongoing,6,46.15,126672,103778,81.92655046103322,10.541349030203609,COG
2015,11113047.0,Completed,IVM + ALB,Ongoing,57,50.44,3732694,3287346,88.06899252925635,29.580960109320152,ETH
2015,120103208.0,In progress,IVM + ALB,Ongoing,428,78.53,74381366,59765252,80.3497639449106,49.76157839181115,NGA
2015,1565479.0,Completed,IVM + ALB,Ongoing,15,13.76,149624,116137,77.61923220873656,7.418623948325082,GNB
2015,2426930.0,Completed,IVM + ALB,Ongoing,29,100,2426930,1754833,72.30670023445258,72.30670023445258,GHA
2015,18218250.0,Completed,IVM + ALB,No MDA,0,0,0,0,0,0,MOZ
2015,12090000.0,In progress,IVM + ALB,Not started,,,,,,,AGO
2015,10886864.0,Completed,IVM + ALB,Ongoing,23,92,7753729,7055384,90.99343038685,64.80639420130535,NER
2015,7161619.0,Completed,IVM + ALB,Ongoing,9,37.5,1811810,1475362,81.43028242475756,20.60095629214567,GIN
2015,7466576.0,Completed,DEC + ALB,Not started,,,,,,,ZWE
2015,,,,Surveillance,,,,,,,TGO
2015,17848457.0,Completed,IVM + ALB,Ongoing,33,54.1,7127291,5900569,82.78838341243538,33.05926669179302,CIV
2015,6713705.0,Completed,IVM + ALB,Ongoing,30,100,6713705,5393933,80.34212107919546,80.34212107919546,BFA
2015,16968062.0,In progress,IVM + ALB,Ongoing,137,86.16,12388731,11021942,88.96748181875932,64.9569880166633,CMR
2016,16756532.0,Completed,IVM + ALB,Ongoing,61,100,16756532,12245009,73.07603387144786,73.07603387144786,CIV
2016,5396337.0,In progress,IVM + ALB,Ongoing,3,6.819999999999999,117656,46196,39.263615965186645,0.8560621769915406,AGO
2016,16417829.0,Completed,DEC + ALB,Ongoing,57,100,16417829,14040632,85.52063735101638,85.52063735101638,TZA
2016,2990390.0,Completed,IVM + ALB,Ongoing,25,100,2990390,1686564,56.399466290350084,56.399466290350084,BEN
2016,10886864.0,Completed,IVM + ALB,No MDA,0,0,0,0,0,0,NER
2016,18863123.0,Completed,DEC + ALB,Ongoing,61,62.24000000000001,12432961,8299638,66.75511971766018,43.99927838036151,MDG
2016,188134.0,Completed,DEC + ALB,Not started,,,,,,,STP
2016,38738084.0,Completed,IVM + ALB,Ongoing,115,47.5,20306774,16066055,79.11672725564387,41.47354061186918,COD
2016,,,,Surveillance,,,,,,,MWI
2016,69634.0,Completed,DEC + ALB,Ongoing,1,50,43957,21363,48.59976795504698,30.678978659850074,ERI
2016,123312522.0,In progress,IVM + ALB,Ongoing,443,85.85,98937995,66581876,67.29656892683138,53.99441591179199,NGA
2016,20180229.0,Completed,IVM + ALB,Ongoing,113,100,20180229,14915255,73.9102365984053,73.9102365984053,MOZ
2016,3300000.0,In progress,IVM + ALB,Ongoing,4,50,1056617,517336,48.96154424924074,15.676848484848485,CAF
2016,7677570.0,Completed,DEC + ALB,Ongoing,39,100,7677570,6037700,78.6407678471183,78.6407678471183,ZWE
2016,420000.0,Completed,IVM + ALB,Not started,,,,,,,GNQ
2016,,,,Eliminated as a public health problem,,,,,,,TGO
2016,18343000.0,Completed,IVM + ALB,Ongoing,59,90.77,16756785,12693257,75.74995442144778,69.19946028457721,MLI
2016,6909507.0,Completed,IVM + ALB,Ongoing,21,100,6909507,4991601,72.24250586908734,72.24250586908734,UGA
2016,5752504.0,Completed,IVM + ALB,Ongoing,47,67.14,3415849,2597923,76.05497198500285,45.161602669029,ETH
2016,7138404.0,Completed,IVM + ALB,Ongoing,14,100,7138404,5592547,78.34450109576314,78.34450109576314,SLE
2016,8582194.0,Completed,IVM + ALB,Ongoing,31,100,8582194,5485410,63.91617341672771,63.91617341672771,BFA
2016,514110.0,Completed,DEC + ALB,No data,No data,No data,No data,No data,No data,No data,COM
2016,1706362.0,Completed,IVM + ALB,Ongoing,84,77.1,1155771,837517,72.46392235140006,48.9,GNB
2016,3181835.0,Completed,IVM + ALB,Ongoing,13,59.089999999999996,2217581,1636687,73.80506055923098,51.43846239669876,TCD
2016,346189.0,Completed,IVM + ALB,Not started,,,,,,,GAB
2016,962668.0,Completed,IVM + ALB,Ongoing,6,50,551879,111748,20.24864145945035,11.608155667374422,COG
2016,7161619.0,Completed,IVM + ALB,Ongoing,24,100,7161619,5635966,78.69681422594527,78.69681422594527,GIN
2016,11298337.0,Completed,DEC + ALB,Ongoing,85,100,11298337,10404448,92.08831352791124,92.08831352791124,ZMB
2016,1790480.0,Completed,IVM + ALB,Ongoing,22,100,1790480,1319165,73.67661185827265,73.67661185827265,GHA
2016,1659558.0,In progress,IVM + ALB,Not started,,,,,,,SSD
2016,3678724.0,Completed,DEC + ALB,Ongoing,23,100,3678724,2209274,60.05544313734871,60.05544313734871,KEN
2016,8533698.0,Completed,IVM + ALB,Ongoing,50,100,8533698,6089986,71.36397374268459,71.36397374268459,SEN
2016,16968062.0,Completed,IVM + ALB,Ongoing,135,84.91,14861904,11999954,80.74304611306869,70.72082834209351,CMR
2016,2713821.0,Completed,IVM + ALB,Ongoing,13,100,2713821,2005547,73.90122635206964,73.90122635206964,LBR
2017,9948893.0,Completed,IVM + ALB,Ongoing,26,100,9948893,8375953,84.18979880475145,84.18979880475145,TZA
2017,4528441.0,Completed,IVM + ALB,Ongoing,25,78.10000000000001,3212481,3074858,95.71599022686826,67.90102819049646,TCD
2017,2342766.0,Completed,IVM + ALB,Ongoing,16,100,2342766,1731545,73.91028382689522,73.91028382689522,MLI
2017,5530123.0,Completed,IVM + ALB,Ongoing,24,96,4455623,4229398,94.9227077784633,76.47927541575477,BFA
2017,20479536.0,Completed,IVM + ALB,Ongoing,74,100,20479536,14817898,72.35465686331956,72.35465686331956,CIV
2017,1131640.0,Completed,IVM + ALB,Ongoing,81,98.8,1124039,831768,73.99814419250578,73.50111342829875,GNB
2017,3300000.0,In progress,IVM + ALB,No data,No data,No data,No data,No data,No data,No data,CAF
2017,3867250.0,Completed,DEC + ALB,Ongoing,23,100,3867250,3017897,78.03728747818217,78.03728747818217,KEN
2017,19762613.0,Completed,IVM + ALB,Ongoing,113,99.12280701754386,19851663,15799350,79.58703510129101,79.94565293567202,MOZ
2017,128342058.0,Completed,IVM + ALB,Ongoing,484,87.52260397830018,87871138,79831356,90.85048608338269,62.202022660412695,NGA
2017,770373.0,Completed,IVM + ALB,Ongoing,6,66.66666666666666,136373,106081,77.78739193242063,13.770082804044275,COG
2017,42633917.0,Completed,IVM + ALB,Ongoing,218,88.9795918367347,32286701,30372985,94.07274221048473,71.24136635158341,COD
2017,12223891.0,Completed,DEC + ALB,Ongoing,85,100,12223891,11398966,93.25153504722842,93.25153504722842,ZMB
2017,1401128.0,Completed,IVM + ALB,Ongoing,15,88.23529411764706,1032420,691799,67.00751632087716,49.37443260001941,GHA
2017,9799294.0,Completed,IVM + ALB,Ongoing,21,100,9799294,7018837,71.62594570588453,71.62594570588453,NER
2017,7319176.0,Completed,IVM + ALB,Ongoing,24,100,7319176,5588471,76.35382726142943,76.35382726142943,GIN
2017,7677570.0,Completed,DEC + ALB,Ongoing,39,100,7677570,3709275,48.313138141365044,48.313138141365044,ZWE
2017,420000.0,Completed,IVM + ALB,Not started,,,,,,,GNQ
2017,5633511.0,Completed,IVM + ALB,Ongoing,70,98.59154929577466,4719138,4236666,89.77626846258786,75.20471691632447,ETH
2017,3965762.0,In progress,IVM + ALB,Ongoing,3,8.571428571428571,116724,89235,76.4495733525239,2.2501350307960992,AGO
2017,5147599.0,In progress,IVM + ALB,Ongoing,3,12,397887,364529,91.61621264328818,7.081534517354596,SSD
2017,2427896.0,Completed,IVM + ALB,Ongoing,25,100,2427896,1980880,81.58833821547546,81.58833821547546,BEN
2017,2383502.0,Completed,IVM + ALB,Ongoing,13,100,2383502,2002850,84.02971761718682,84.02971761718682,LBR
2017,2990412.0,Completed,IVM + ALB,Ongoing,9,100,2990412,1979667,66.20047672360865,66.20047672360865,UGA
2017,19637679.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,MDG
2017,828148.0,Completed,DEC + ALB,Ongoing,17,100,828148,382312,46.1646951994088,46.1646951994088,COM
2017,4288461.0,Completed,IVM + ALB,Ongoing,6,100,4288461,3464408,80.7844119370562,80.7844119370562,SLE
2017,72999.0,Completed,DEC + ALB,Ongoing,2,100,72999,55525,76.0626857902163,76.0626857902163,ERI
2017,10792844.0,Completed,IVM + ALB,Ongoing,93,79.48717948717949,7312324,6440400,88.07596599931841,59.67287213638963,CMR
2017,8805111.0,Completed,IVM + ALB,Ongoing,50,100,8805111,6321027,71.78815803684928,71.78815803684928,SEN
2017,346189.0,Completed,IVM + ALB,Not started,,,,,,,GAB
2017,188134.0,Completed,DEC + ALB,Not started,,,,,,,STP
2017,,,,Surveillance,,,,,,,MWI
2018,962668.0,Completed,IVM + ALB,Ongoing,6,50,305490,291799,95.51834757275198,30.311488488243093,COG
2018,7480197.0,Completed,IVM + ALB,Ongoing,24,100,7480197,5907574,78.97618204440337,78.97618204440337,GIN
2018,19637679.0,Completed,DEC + ALB,No data,No data,No data,No data,No data,No data,No data,MDG
2018,1398027.0,Completed,IVM + ALB,Ongoing,15,93.75,1202456,1197487,99.58676242623432,85.65549878507353,BEN
2018,1621568.0,Completed,IVM + ALB,Ongoing,18,100,1621568,931628,57.45229308915815,57.45229308915815,CMR
2018,48034532.0,Completed,IVM + ALB,Ongoing,182,95.51020408163265,29724069.95,28383005,95.48828625334332,76.64389235644057,COD
2018,3955338.0,In progress,IVM + ALB,Ongoing,1,3.0303030303030303,55306,29712,53.72292337178606,0.75118738272178,AGO
2018,828148.0,Completed,DEC + ALB,No data,No data,No data,No data,No data,No data,No data,COM
2018,7677570.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,ZWE
2018,9986963.0,Completed,IVM + ALB,Ongoing,24,100,9986963,9108052,91.19941667952509,91.19941667952509,TZA
2018,48034532.0,Completed,2 * ALB,Ongoing,52,95.51020408163265,8934584.588317692,8432529.96882094,94.38077266453769,76.64389235644057,COD
2018,201784.0,Completed,DEC + ALB,Ongoing,7,100,201784,162512,80.53760456726003,80.53760456726003,STP
2018,8985524.0,Completed,IVM + ALB,Ongoing,17,100,8985524,6602315,73.47723961340485,73.47723961340485,NER
2018,6070736.023130594,Completed,IVM + ALB,Ongoing,59,79.72972972972973,4415895.317928643,4154844,94.08837168605949,68.44053149682837,ETH
2018,420000.0,Completed,IVM + ALB,Not started,,,,,,,GNQ
2018,20261154.0,Completed,IVM + ALB,Ongoing,114,100,20261154,16502496,81.4489441223338,81.4489441223338,MOZ
2018,9061189.0,Completed,IVM + ALB,Ongoing,47,94,7387584,5588601,75.64856115341632,61.67624359231443,SEN
2018,361121.0,Completed,IVM + ALB,Not started,,,,,,,GAB
2018,1307552.0,Completed,IVM + ALB,Ongoing,15,100,1127110,938015,83.22302171039206,71.7382559163995,GHA
2018,,,,Surveillance,,,,,,,MWI
2018,2713101.0,Completed,IVM + ALB,Ongoing,4,80,1867118,1640073,87.83981515897763,60.45012699490362,SLE
2018,970242.0,Completed,IVM + ALB,Ongoing,12,100,970242,665975,68.64009185337267,68.64009185337267,MLI
2018,2288222.0,Completed,IVM + ALB,Ongoing,10,100,2288222,1749542,76.4585778827404,76.4585778827404,BFA
2018,71584.0,Completed,DEC + ALB,Ongoing,2,100,71584,62777,87.6969713902548,87.6969713902548,ERI
2018,21002613.0,Completed,IVM + ALB,Ongoing,74,100,21002613,15581091,74.18644051575868,74.18644051575868,CIV
2018,12032435.0,Completed,DEC + ALB,Ongoing,69,100,10988619,11164092,101.59686126163807,92.78331443303038,ZMB
2018,4527450.0,Completed,IVM + ALB,Ongoing,30,93.75,4110117,3377900,82.18500835864283,74.60932754641134,TCD
2018,1076864.0,Completed,IVM + ALB,Ongoing,79,100,1076864,701302,65.12447254249376,65.12447254249376,GNB
2018,2888338.0,Completed,IVM + ALB,Ongoing,13,100,2888338,1960888,67.8898383776414,67.8898383776414,LBR
2018,3300000.0,In progress,IVM + ALB,Ongoing,1,62.5,120742,101806,84.31697338125922,30.661151515151513,CAF
2018,3300000.0,In progress,1 * ALB,Ongoing,4,62.5,1025957,910012,88.69884410360278,30.661151515151513,CAF
2018,3983268.0,Completed,DEC + ALB,Ongoing,23,100,3983268,3465107,86.99156069840141,86.99156069840141,KEN
2018,5904795.0,In progress,IVM + ALB,Ongoing,5,20.7,1039415,1035785,99.65076509382682,17.54142184445015,SSD
2018,131361930.0,Completed,IVM + ALB,Ongoing,510,92.2242314647378,94084219,84911508,90.25053181341708,64.63935784134719,NGA
2018,1975991.0,Completed,IVM + ALB,Ongoing,6,100,1975991,1570427,79.47541259044196,79.47541259044196,UGA
2019,8815619.0,Completed,IVM + ALB,Ongoing,44,93.62,6771522,6007315,88.71439832876568,68.14399533373663,SEN
2019,7677570.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,ZWE
2019,134545208.0,Completed,IVM + ALB,Ongoing,506,91.5,95346194,82992655,87.04349016805013,61.68384309904222,NGA
2019,12032435.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,ZMB
2019,2942778.0,Completed,IVM + ALB,Ongoing,5,100,2442506,2240077,91.71224144382859,76.12116850132765,SLE
2019,2040460.0,Completed,IVM + ALB,Ongoing,6,100,2040460,1593787,78.10920086647128,78.10920086647128,UGA
2019,8472338.0,Completed,IVM + ALB,Ongoing,14,28.000000000000004,1611815.4099999997,1418015,87.97626522257907,16.736997508834044,SSD
2019,7954815.0,Completed,IVM + ALB,Ongoing,9,60,1131412,1161582,102.6665794600022,14.602250335174357,TZA
2019,201114.0,Completed,IVM + DEC + ALB,Ongoing,7,100,201114,144527,71.86322185427171,71.86322185427171,STP
2019,1844198.0,Completed,IVM + ALB,Ongoing,33,30.3,455588,339446,74.5,18.41,GNB
2019,72999.0,Completed,DEC + ALB,Ongoing,2,100,72999,62548,85.68336552555515,85.68336552555515,ERI
2019,46051090.0,Completed,2 * ALB,Ongoing,63,100,9687087,9452023,97.57342945304404,80.17999999999999,COD
2019,2114837.0,Completed,IVM + ALB,Ongoing,9,100,2114837,1696518,80.21979944553647,80.21979944553647,BFA
2019,21125734.0,Completed,DEC + ALB,Ongoing,18,18.75,3697752,3129919,84.64383225267676,14.815669836607807,MDG
2019,1031260.0,Completed,2 * ALB,Ongoing,7,100,482349,411744,85.36225844772146,51.60501910284506,COG
2019,1031260.0,Completed,IVM + ALB,Ongoing,6,100,548911,120438,21.941261880341255,51.60501910284506,COG
2019,420000.0,Completed,IVM + ALB,Not started,,,,,,,GNQ
2019,4102765.525000001,Completed,IVM + DEC + ALB,Ongoing,3,100,286640,288961,100.80972648618476,92.98593782056311,KEN
2019,296128.0,Completed,IVM + ALB,Ongoing,4,100,296128,251369,84.88525232331965,84.88525232331965,BEN
2019,4102765.525000001,Completed,DEC + ALB,Ongoing,20,100,3816126,3526034,92.39825938661355,92.98593782056311,KEN
2019,4442824.764846294,In progress,IVM + ALB,Ongoing,8,53.13,870373.4709680498,782984,89.95954335891543,53.826515151515196,CAF
2019,4442824.764846294,In progress,1 * ALB,Ongoing,9,53.13,1198514,993291,82.87687920207858,53.826515151515196,CAF
2019,7480197.0,Completed,IVM + ALB,No MDA,0,0,0,0,0,0,GIN
2019,788813.0,Completed,DEC + ALB,Ongoing,17,100,788813,502859,63.74882259800485,63.74882259800485,COM
2019,5919602.944410031,Completed,IVM + ALB,Ongoing,43,59.699999999999996,2979204.237980855,2880331,96.68121988011583,48.657503333394,ETH
2019,1349658.0,Completed,IVM + ALB,Ongoing,15,100,1349658,979438,72.56934719758635,72.56934719758635,GHA
2019,361121.0,Completed,IVM + ALB,Not started,,,,,,,GAB
2019,58244.0,Completed,IVM + ALB,Ongoing,1,100,58244,19060,32.72440079664858,32.72440079664858,CMR
2019,,,,Surveillance,,,,,,,MWI
2019,2963868.0,Completed,IVM + ALB,Ongoing,13,100,2963868,2496344,84.22588320397534,84.22588320397534,LBR
2019,1004177.0,Completed,IVM + ALB,No MDA,0,0,0,0,0,0,MLI
2019,6676439.0,Completed,IVM + ALB,Ongoing,13,84.61999999999999,4522872,4327341,95.67683984866252,64.8151057771965,NER
2019,21713670.0,Completed,IVM + ALB,Ongoing,74,100,21713670,15999219,73.68270310822629,73.68270310822629,CIV
2019,2394346.773,In progress,IVM + ALB,Ongoing,2,9.520000000000001,534899,263549,49.27079691680112,11.00713576545915,AGO
2019,46051090.0,Completed,IVM + ALB,Ongoing,182,100,27614316,27494725,99.56692391004724,80.17999999999999,COD
2019,18059542.021553796,Completed,IVM + ALB,Ongoing,60,60.61,9204631,8781876,95.40714885800419,48.62734608396471,MOZ
2019,5124862.0,Completed,IVM + ALB,Ongoing,32,100,5124862,3653785,71.29528560964178,71.29528560964178,TCD
2020,1892353.0,Completed,IVM + ALB,Ongoing,44,40.36697247706422,488790,415475,85.0007160539291,21.96,GNB
2020,72483.0,Completed,DEC + ALB,Ongoing,1,50,41799,36645,87.6695614727625,50.556682256529115,ERI
2020,19098527.26297629,Completed,IVM + ALB,Ongoing,94,98.94736842105263,19046576,14646173,76.8966191088624,76.6874467666149,MOZ
2020,21966154.0,Completed,IVM + ALB,Ongoing,62,62.62626262626263,11824112,10564594,89.3478850673945,48.094873595077225,CIV
2020,8180532.0,Completed,IVM + ALB,Ongoing,23,95.83333333333334,6278537,5228298,83.27,63.91146688259395,GIN
2020,8029929.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,ZWE
2020,400225.0,Completed,DEC + ALB,Ongoing,7,100,400225,199102,49.74751702167531,49.74751702167531,COM
2020,,,,Surveillance,,,,,,,MLI
2020,315128.0,Completed,IVM + ALB,Ongoing,4,100,315128,262386,83.26330887766241,83.26330887766241,BEN
2020,1349658.0,Completed,IVM + ALB,No MDA,0,0,0,0,0,0,GHA
2020,4134781.0,Completed,IVM + ALB,Ongoing,11,100,4134781,3230756,78.13608507923394,78.13608507923394,NER
2020,8238487.770482671,Completed,IVM + ALB,No MDA,0,0,0,0,0,0,TZA
2020,1655032.0059370326,Completed,IVM + ALB,Ongoing,4,100,1655032.0059370326,1162194,70.22184440125062,70.22184440125062,SLE
2020,6831470.119528587,Completed,IVM + ALB,Ongoing,32,34.78260869565217,2193061.555148932,2003380,91.35083305329061,29.325752216541133,ETH
2020,4442825.0,In progress,IVM + ALB,No MDA,0,0,0,0,0,0,CAF
2020,5352356.0,Completed,IVM + ALB,Ongoing,35,100,5352356,4164676,77.81014566295666,77.81014566295666,TCD
2020,358437.0,Completed,IVM + ALB,Not started,,,,,,,GAB
2020,21390404.0,Completed,IVM + DEC + ALB,Ongoing,17,25.53191489361702,2222979,1693114,76.16419228431758,13.025705358346668,MDG
2020,58244.0,Completed,IVM + ALB,No MDA,0,0,0,0,0,0,CMR
2020,21390404.0,Completed,DEC + ALB,Ongoing,7,25.53191489361702,1511370,1093137,72.32755711705275,13.025705358346668,MDG
2020,2948994.0,Completed,IVM + ALB,No MDA,0,0,0,0,0,0,LBR
2020,,,,Surveillance,,,,,,,UGA
2020,1062197.8,Completed,IVM + ALB,Ongoing,6,92.3076923076923,119744,98422,82.19367985034741,33.147498516754595,COG
2020,12810245.0,Completed,DEC + ALB,Ongoing,47,55.294117647058826,7310008,6518924,89.17806929896656,50.888363181188176,ZMB
2020,1062197.8,Completed,1 * ALB,Ongoing,6,92.3076923076923,298266,253670,85.04824552580583,33.147498516754595,COG
2020,,,,Eliminated as a public health problem,,,,,,,MWI
2020,8560784.0,Completed,IVM + ALB,No MDA,0,0,0,0,0,0,SSD
2020,2186504.563648,Completed,IVM + ALB,Ongoing,9,100,2186504.563648,1697870,77.65225045619141,77.65225045619141,BFA
2020,3819439.0,In progress,IVM + ALB,Ongoing,33,86.8421052631579,2088781,939509,45,24.6,AGO
2020,210238.0,Completed,IVM + DEC + ALB,Ongoing,7,100,210238,152119,72.35561601613409,72.35561601613409,STP
2020,4225848.0,Completed,IVM + DEC + ALB,Ongoing,20,87,3804831,4023825,105.75568270969198,95.2193500570773,KEN
2020,136378141.1751459,Completed,IVM + ALB,Ongoing,436,79.70749542961609,87487445,75424759,86.21209477542749,55.3056073649915,NGA
2020,47298137.0,Completed,1 * ALB,Ongoing,27,11.020408163265307,4450725,4081777,91.71038426323801,8.629889587405948,COD
2020,420000.0,Completed,IVM + ALB,Not started,,,,,,,GNQ
2020,5590970.0,Completed,IVM + ALB,Ongoing,34,100,5590970,3912081,69.97141819755784,69.97141819755784,SEN
2021,48650774.0,Completed,2 * ALB,Ongoing,63,99.59183673469387,10948159.559999995,10767673.45,98.35144793962067,80.65134791072389,COD
2021,1089390.0,Completed,IVM + ALB,Ongoing,6,100,149819,124393,83.0295222902302,50.39480810361761,COG
2021,8758494.0,Completed,IVM + ALB,Ongoing,34,68,5090603,4628519,90.92280423360455,52.84606006466408,SSD
2021,5394895.0,Completed,IVM + ALB,Ongoing,36,100,5394895,4190702,77.67902804410465,77.67902804410465,TCD
2021,948512.0,Completed,1 * ALB,Ongoing,15,100,948512,191498,20.189307040923048,20.189307040923048,GNQ
2021,,,,Surveillance,,,,,,,UGA
2021,14349734.0,Completed,IVM + ALB,Ongoing,29,46.774193548387096,3865509,3558275,92.05191347374951,24.796801111435236,CIV
2021,73338.0,Completed,DEC + ALB,Ongoing,2,100,73338,62548,85.28729989909733,85.28729989909733,ERI
2021,407669.0,Completed,IVM + DEC + ALB,Ongoing,7,100,99550,94457,94.88397790055248,39.343437936168804,COM
2021,48650774.0,Completed,IVM + ALB,Ongoing,181,99.59183673469387,30164414,28469832,94.38218159981493,80.65134791072389,COD
2021,407669.0,Completed,DEC + ALB,Ongoing,7,100,69556,65934,94.79268503076658,39.343437936168804,COM
2021,8407131.0,Completed,IVM + ALB,Ongoing,23,95.83333333333334,6367943,5841495,91.73284057347874,69.48262136036656,GIN
2021,2103341.0,Completed,IVM + ALB,No MDA,0,0,0,0,0,0,BFA
2021,4306318.0,Completed,IVM + ALB,No MDA,0,0,0,0,0,0,NER
2021,8147166.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,ZWE
