Year,"Population requiring PC for STH, Pre-SAC",Number of Pre-SAC targeted,Reported number of Pre-SAC treated,"Drug combination, Pre-SAC","Programme coverage, Pre-SAC (%)","National coverage, Pre-SAC (%)","Population requiring PC for STH, SAC",Number of SAC targeted,Reported number of SAC treated,"Drug combination, SAC","Programme coverage, SAC (%)","National coverage, SAC (%)",CountryCode
2003,8381396,10061869.0,8170761.0,Alb/Mbd, ,92.72390538957151,15883949,3455081.0,4997.0,Ivm+Alb, ,0.0305300025550624,COD
2003,344754,472484.0,381673.0,Alb/Mbd, ,100.0,729259,65234.0,41508.0,Pzq+Mbd, ,5.69180496915362,MRT
2003,1523643,2294407.0,2294407.0,Alb/Mbd, ,100.0,3110863,555348.0,206644.0,"Alb/Mbd, Pzq+Mbd", ,6.642658323429865,MLI
2003,1883030,1615569.0,1684408.0,Alb/Mbd, ,84.84861917638193,3632444,3795722.0,161397.0,Alb/Mbd, ,4.443206832644908,MWI
2003,125378,144474.0,126326.0,Alb/Mbd, ,100.0,318321,112900.0,221591.0,Ivm+Alb, ,70.83658333866121,SWZ
2003,2256397,2931663.0,2000000.0,Alb/Mbd, ,87.30864128546258,4601667,1158709.0,181147.0,Ivm+Alb, ,3.724849651556803,MDG
2003,9640744,697601.0,188981.0,Alb/Mbd, ,1.9340633024227345,19920856,3569694.0,3000.0,Alb/Mbd, ,0.015059593824683,ETH
2003,220361,198512.0,161085.0,Alb/Mbd, ,73.99708761501394,522762,458705.0,16728.0,Ivm+Alb, ,3.185351344557977,LSO
2003,4361735,2345105.0,115347.0,Dec+Alb, ,2.644521044951149,9074693,4187694.0,391015.0,"Dec+Alb, Pzq+Mbd", ,4.308850999146748,KEN
2003,190870,271718.0,217374.0,Alb/Mbd, ,100.0,374835,19906.0,47000.0,Alb/Mbd, ,12.538850427521442,GMB
2003,186742,195549.0,159822.0,Alb/Mbd, ,80.14783685791514,354669,128428.0,69000.0,Alb/Mbd, ,19.4547592262081,GNB
2003,2443103,190200.0,122902.0,Alb/Mbd, ,4.829492986149916,5352777,1716739.0,670351.0,Ivm+Alb, ,12.523424756906556,GHA
2003,992079,1963790.0,1712154.0,Alb/Mbd, ,100.0,1986540,226196.0,183232.0,Ivm+Alb, ,9.22367533500458,BEN
2003,1603227,1999050.0,1537583.0,Alb/Mbd, ,95.9055080783944,3081432,242876.0,2512311.0,Alb/Mbd, ,81.5306325111182,ZMB
2003,1178344,197000.0,175334.0,Alb/Mbd, ,14.43528475137512,2371484,758231.0,30718.0,Ivm+Alb, ,1.2746132135207424,GIN
2004,2802143,3043840.0,3017790.0,Alb/Mbd, ,99.77191043442814,5336459,385278.0,105085.0,Alb/Mbd, ,1.9691896817721264,MOZ
2004,2146277,2676553.0,1923909.0,Alb/Mbd, ,81.39244351334155,4544792,3672936.0,6200.0,Pzq+Alb, ,0.1364198845623738,CMR
2004,9771190,697601.0,188981.0,Mbd, ,1.9340633024227345,20414282,3569694.0,30819.0,"Alb/Mbd, Pzq+Alb", ,0.1509678371250088,ETH
2004,195201,271718.0,217374.0,Alb/Mbd, ,100.0,388257,19906.0,45274.0,Alb/Mbd, ,11.66083290191806,GMB
2004,2290724,2931663.0,2000000.0,Mbd, ,87.30864128546258,4735066,1158709.0,181147.0,Ivm+Alb, ,3.724849651556803,MDG
2004,351243,472484.0,381673.0,Alb/Mbd, ,100.0,743852,65234.0,39378.0,Pzq+Mbd, ,5.293795002231627,MRT
2004,1458930,1705654.0,1725845.0,Alb/Mbd, ,100.0,3048458,1537264.0,218320.0,Mbd, ,7.161653531063903,SEN
2004,4504292,2345105.0,118335.0,Alb/Mbd, ,2.6259445530419754,9206475,4187694.0,163362.0,Alb/Mbd, ,1.7744250649678623,KEN
2004,1401843,1645475.0,1336885.0,Alb/Mbd, ,84.29941288006573,2663493,743593.0,23833.333333333332,Ivm+Alb, ,0.9051666586520759,TCD
2004,845387,1151156.0,226377.0,Alb, ,26.777913547286623,1967245,1451954.0,1724937.0,Alb, ,87.6828763067132,BDI
