,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Aruba,ABW,97.9731037869072,98.0125082381901,98.051912689473,98.0913171407559,98.1307215920388,98.1701260433217,98.2095304946046,98.2489349458875,98.2883393971704,98.3277438484533,98.3671482997362,98.4065527510191,98.445957202302,98.4853616535849,98.5247661048679,98.5641705561508,98.6035750074337,98.6429794587166,98.6823839099995,98.7217883612824,98.7611928125653,98.8005972638482,98.8400017151311
1,Africa Eastern and Southern,AFE,22.4153622080005,22.7561422969355,23.1173110386926,23.4847974892192,23.8501510304797,24.3490744905871,24.8453775426805,25.3208341055576,25.8500882834056,26.3891534924248,26.9275388772824,27.0711139677568,27.6045484860424,28.1517230961958,28.7130915542539,29.2939795435295,29.8276763549002,30.3595741285536,30.7118953897305,31.1374512141947,31.5299842367866,31.4820731319214,31.7442465723469
2,Afghanistan,AFG,20.9709193555198,20.9823486569015,22.5413387666176,24.1003328260197,25.6662399387279,27.2391887360031,28.8122662344939,30.4665336124326,32.128704614959,33.7989577403427,35.4774709901664,37.16457222165,38.8603050336229,40.564852379778,42.2784026530125,44.0013086436901,45.7336021554717,47.4776157981306,49.2341444226923,51.0034810931108,52.6490009350063,54.298589737252,55.9519412878114
3,Africa Western and Central,AFW,21.858426384413,22.1011741752947,22.7126054890726,23.3501867120925,24.0137442590469,24.70057986027,25.4060852342512,26.1257098506408,26.8593857801957,27.6124650286051,28.3835423274175,29.1674086377511,29.9676854058085,30.7858640570238,31.6209293422894,32.4660606874312,33.3204635580789,34.1884837548176,34.9500545608736,35.8403432991163,36.7421504215131,37.6362508585179,38.7535509686832
4,Angola,AGO,27.5575243295056,28.9892228999424,30.4224688661868,31.8560605984651,33.2903908906274,34.7226378362301,35.9912829408025,37.2593050122209,38.5275103563643,39.7942707753161,41.0607923213848,42.3266654473422,43.5914724861148,44.8547922195447,46.1170299677134,47.3744826098829,48.6279413330122,49.8769829625562,51.120743995819,51.3936226824603,51.6603294206642,51.9216843631804,52.1772757616933
5,Albania,ALB,89.4886714004041,90.0309542893634,90.605514785525,91.1654586707594,91.7106511759046,92.3229745372511,92.9214092333686,93.5057456524919,94.0758130632297,94.6311525971364,95.1721612127179,95.6984954437804,96.2102708087274,96.7065621641798,97.1880221308194,97.6549638832306,98.1079030060422,98.5472976713805,98.9736460270302,99.1830688799465,99.2987931149029,99.2990334369956,99.2992661348186
6,Andorra,AND,99.9999994632633,100.0,100.0,100.0,100.0,99.9999978782282,100.0,100.0,100.0,100.0,99.9999980744897,100.0,99.9999980016794,100.0,100.0,100.0,99.99999600335,100.0,99.9999955655473,99.9999967920626,99.9999985271439,100.0,100.0
7,Arab World,ARB,72.9374053862497,73.2496483056879,73.6221596167509,74.0505331923988,74.47390898014,75.086228951593,75.7469267071595,76.3932053241974,77.0417328782142,77.6517646539252,78.2054678645864,78.879703204818,79.5104856978332,80.1179416889049,80.6739677483179,81.2368034963383,81.7767751313476,82.1092252180517,82.3885838248522,82.6432268984747,82.983687043449,88.3111853957153,88.3790595529368
8,United Arab Emirates,ARE,99.1608562687894,99.1568692677947,99.1529465456158,99.1490935685075,99.1452966979577,99.1415743809472,99.1379009655466,99.1343253791665,99.1308648663804,99.1274836760385,99.1241989402121,99.1210028225172,99.1178971015922,99.1148786579815,99.1119372568117,99.1090909356026,99.1063249754935,99.1036265354929,99.1010226864548,99.0984800860555,99.0960140949249,99.0936255379982,99.0913054641249
9,Argentina,ARG,87.6669269654323,88.1359392097076,88.6033940308795,89.0695626056267,89.535067661347,89.9997328171333,90.463786071511,90.9270366712693,91.389714779665,91.851632903701,92.3128297975777,92.7707536939526,93.2268007089789,93.6231264544083,94.0211238749445,94.4204081447428,94.8209556611028,94.8209556611028,94.8209556611028,94.8209556611028,94.8209556611028,94.8209556611028,94.8209556611028
10,Armenia,ARM,86.9598960322857,87.3260136492701,87.7125537666032,88.1073225541723,88.5026889720846,88.89849800909,89.2950645345258,89.6920691439885,90.0898320713121,90.4880281882905,90.886816268627,91.2862018286615,91.6861698103562,92.0907742307547,92.5000968345708,92.9144017017963,93.2465397820957,93.4677255905202,93.693256899836,93.8578716530954,93.9367387745435,93.9562455310178,93.9797141565547
11,American Samoa,ASM,64.6022126416572,64.5940020646939,64.5857914877307,64.5775809107675,64.5693703338042,64.561159756841,64.5529491798777,64.5447386029145,64.5365280259512,63.3846165917388,62.2329962063021,61.0816668696417,59.9306285817578,58.7798813426497,57.6294251523178,56.4792600107625,55.3293859179829,54.17980287398,54.1729020165096,54.1660011590391,54.1591003015687,54.1521994440983,54.1452985866279
12,Antigua and Barbuda,ATG,97.3382623808046,97.3382623808046,97.3382623808046,97.3382623808046,97.3382623808046,97.3382623808046,97.3382623808046,97.3382623808046,97.3382623808046,97.3382623808046,97.3536211069896,97.3677830429391,97.3724715198517,97.377133715389,97.3817635895337,97.3863992440452,97.3904780793345,97.3939999567314,97.3970184718327,97.3994801016802,97.401415922773,97.4028176183176,97.403718511033
13,Australia,AUS,99.9907556704031,99.9912540263272,99.9917523822512,99.9922507381752,99.9927490940993,99.9932474500233,99.9937458059473,99.9942441618714,99.9947425177954,99.9952408737194,99.9957392296434,99.9962375855675,99.9967359414915,99.9972342974155,99.9977326533395,99.9982310092636,99.9987293651876,99.9992277211116,99.9997260770357,100.0,100.0,100.0,100.0
14,Austria,AUT,99.9999792345039,99.999991799194,99.9999980392323,99.9983754167631,99.996530510081,99.9947044560317,99.9928973265328,99.9911019826259,99.9893267550083,99.9875724384066,99.9858342390638,99.984111541528,99.9823078846103,99.9804526499749,99.9785880353987,99.9767047978383,99.9748142109487,99.9729106791419,99.9728142657606,99.9727098850505,99.9726057573629,99.972489808581,99.9723671174221
15,Azerbaijan,AZE,62.2763448871113,64.1750752555107,66.0659783026576,67.9494292873128,69.8252236827963,72.2781232201484,74.745714824542,77.2281562629166,79.7252646549165,82.2372192824179,84.7653165005318,87.3090251165639,89.867944807487,92.4416985929619,94.3420184990273,96.1196172823596,96.1218120431691,96.1241166203386,96.1265212557796,96.1290294533043,96.1290294533043,96.1290294533043,96.1290294533043
16,Burundi,BDI,45.2147429343412,45.4235595145127,45.634367840651,45.8472924386413,45.8686367474088,45.8870569615053,45.9023891144522,45.91453002842,45.9232637088484,45.9285444534239,45.930071391903,45.9277113706051,45.9213248562526,45.9106159973544,45.8955074527913,45.8757132011188,45.8510198644704,45.8212039832592,45.7860370850932,45.7452763887701,45.7275099507196,45.7093313882006,45.6906846411766
17,Belgium,BEL,99.4846315051825,99.4847977084529,99.4849659216201,99.4851239607149,99.4852943650297,99.4854568629514,99.4856157010905,99.4857778155169,99.485938234534,99.4861037837084,99.4861223783122,99.4861282307438,99.4861402795475,99.4861457738456,99.4861569997112,99.486162707096,99.4861780441758,99.4861797235591,99.4861886398911,99.4861988308489,99.4861978032885,99.4862111207858,99.4862170542849
18,Benin,BEN,8.60566700510411,9.00424752605042,9.42522879725803,9.87676965998667,10.3400677635835,10.814694218731,11.3007400084745,11.7983015321379,12.3071178648893,12.8267358396861,13.3574318576564,13.8991204082012,14.4517136045026,15.0147440721455,15.5894570732653,16.17540036159,16.7724928532971,17.3806539321045,17.9998030901084,18.6298545928192,19.2707223290055,19.3816144059671,19.4935017104267
19,Burkina Faso,BFA,10.1878990848946,10.5063052772592,11.3937425930332,12.2686574331796,13.1317299489599,13.9805995453405,14.8159146955023,15.5707854905595,16.2596775904484,16.9336302229932,17.5931679395271,18.2380244727644,18.8675829272628,19.4816080899317,20.0801867081172,20.6627379954545,21.2290233625521,21.7779198987319,22.3095685822615,22.8240692453658,23.3206825506615,24.0411194450571,24.7564935540426
20,Bangladesh,BGD,24.5131903542463,26.0705975336452,27.6554493983047,29.231867657353,30.7992984470831,32.4431837647269,34.0875250851519,35.7309011894357,37.3719166265714,39.0092124920905,40.6418673210665,42.268339101128,43.8868927179976,45.4961634604437,47.0955366737352,48.6838158473245,50.2602922140672,51.8240359497362,53.374264785747,54.9102399606066,56.4312334257288,57.9366246208439,59.2951914692048
21,Bulgaria,BGR,85.8271089702162,85.8352908479072,85.8462648106082,85.8571440644379,85.8679922046275,85.8787497249817,85.8894144465135,85.900018782147,85.9105609000638,85.9210147407861,85.9314025243646,85.9417021469131,85.9520261721643,85.9623866060034,85.972745627149,85.9831361461226,85.9935265191429,86.0039454307133,86.0143373922926,86.0247237413144,86.0351144450633,86.0455071778207,86.0558628837298
22,Bahrain,BHR,99.9338494189547,99.9387336652673,99.9436179115799,99.9485021578926,99.9533864042052,99.9582706505178,99.9631548968304,99.968039143143,99.9729233894557,99.9778076357683,99.9826918820809,99.9875761283935,99.9924603747062,99.9973446210188,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
23,"Bahamas, The",BHS,87.6018273385256,88.1192100717408,88.6379844039754,89.1581503352292,89.6797078655026,90.2026569947952,90.7269977231071,91.2527300504385,91.7798539767891,92.3083695021592,92.8382766265486,93.3695753499573,93.9022656723855,94.2450378918434,94.5878101113014,94.9305823307593,94.9305823307593,94.9305823307593,94.9305823307593,94.9305823307593,94.9305823307593,94.9305823307593,94.9305823307593
24,Bosnia and Herzegovina,BIH,95.0784457696157,95.0879641913075,95.0981396368111,95.1088600330227,95.1202465613179,95.1357873687162,95.151629322116,95.1678950814156,95.1844590967475,95.2013200786175,95.2184859381301,95.2360153461861,95.2539078629793,95.2720381038847,95.290532157865,95.3129360823777,95.3361510415938,95.3602380401122,95.3850592701845,95.3850592701845,95.3850592701845,95.3850592701845,95.3850592701845
25,Belarus,BLR,92.0688611847075,92.0460905490136,92.0235090773808,92.0011580100516,92.4299916634885,92.8629829775611,93.300075313505,93.741208204244,94.1862922254828,94.6353529883888,95.0871819797059,95.5429893009078,96.0031998605471,96.4677445675185,96.9365246924667,97.4094623454062,97.8864691690809,98.3674545561618,98.8522676469004,99.3407614255289,99.488775472255,99.5394913472978,99.5586639196019
26,Belize,BLZ,82.4379857862618,82.7632637992098,83.088569231987,83.4138995033118,83.7392626611454,84.0550525354044,84.3704273112664,84.6853808597079,84.9999138070578,85.3140193437677,85.6277083290934,85.9422379234594,86.2578541142756,86.5747585957408,86.8930450171415,87.2129807113852,87.534777016108,87.8585217818837,88.184416079473,88.1985036524971,88.2142766873075,88.23173186587,88.2510779331487
27,Bermuda,BMU,99.9791403999453,99.9770577444815,99.9749750890177,99.972892433554,99.9708097780902,99.9687271226264,99.9666444671626,99.9645618116988,99.962479156235,99.9603965007712,99.9583138453074,99.9562311898436,99.9541485343798,99.952065878916,99.9499832234522,99.9479005679884,99.9458179125246,99.9437352570609,99.9416526015971,99.9416526015971,99.9416526015971,99.9416526015971,99.9416526015971
28,Bolivia,BOL,34.8811874412867,36.0196772037858,37.1412514213975,38.2561389140297,39.3677022723761,40.47531433417,41.5799679174853,43.1728444931789,44.7886532203602,46.4262546267076,48.08580986572,49.7674655242052,51.4707416747081,53.1783113817312,54.8968142877762,56.636951137867,58.3989085613163,60.181938442967,61.9877854174935,63.8163098248026,65.6670621010482,67.5398876118887,68.612563095457
