Year,Population requiring PC for LF,Reported number of people treated,Programme (drug) coverage (%),National coverage (%),CountryCode,GDP_per_capita,HealthExp_per_capita,Pct_with_improved_sanitation
2000,1600000.0,51722,67.17142857142858,3.232625,TGO,409.889802792768,11.22799778,9.60294075298278
2000,4000000.0,114947,23.94729166666667,2.873675,GHA,253.746936203344,16.27483559,6.24573244330994
2000,80000000.0,159698,38.55223325720962,0.19962249999999998,NGA,547.318298903379,17.65198708,27.9946355957726
2000,11000000.0,37240,100,0.3385454545454546,TZA,401.698150634766,12.25793076,6.4545572257458
2001,6015806.0,393677,68.48533663631588,6.544044139721262,GHA,263.542156494853,19.207201,6.34852886366336
2001,80000000.0,675701,32.32680403345295,0.8446262499999999,NGA,566.428231812933,18.48871803,28.0339081146668
2001,456250.0,53308,85.65047638940214,11.683945205479453,COM,691.699908770798,45.25306702,30.4360322594528
2001,1100816.0,342398,74.7044205464538,31.104017383468264,TGO,396.692654520135,11.21350384,9.885647726804
2001,12000000.0,431399,77.23524398802618,3.5949916666666666,BFA,259.485223380436,7.52252769,10.5063052772592
2001,34000000.0,955403,59.098323490860324,2.8100088235294116,TZA,396.638732910156,15.08091736,7.66547439187183
2002,456250.0,245224,56.85694412242059,53.747726027397256,COM,762.116930318449,51.05594635,31.0518318596718
2002,1123757.0,556974,78.50730490305939,49.5635622292008,TGO,445.238691488925,12.65094852,10.17042045101
2002,6015806.0,1223122,74.12860606060606,20.331805912624176,GHA,297.46164468774,19.75684166,7.23251503810142
2002,12429409.0,733375,75.97198036304947,5.900320763440965,UGA,241.984688408335,15.7368412,16.8151542285613
2002,2987266.0,480900,81.19566483699239,16.09833205345624,KEN,402.936385605382,22.33303261,28.7335944914558
2002,34000000.0,2078204,69.22035158355155,6.112364705882353,TZA,402.649047851563,16.92565536,8.88565368804983
2002,12793884.0,1786125,68.36779298486827,13.960772193963928,BFA,285.654087637533,8.51982498,11.3937425930332
2002,80000000.0,2168355,53.72417548874058,2.71044375,NGA,712.164852077686,18.06385422,28.6863473284877
2002,3430000.0,224971,77.81932520218338,6.558921282798834,BEN,546.463829658159,17.4725647,9.42522879725803
2003,13116285.0,5504199,77.80833548203235,41.96461879259257,BFA,362.373899996953,11.43507481,12.2686574331796
2003,3430000.0,678638,80.85559636896969,19.78536443148688,BEN,676.002878084282,21.76790237,9.87676965998667
2003,1060569.0,855132,80.62954885537857,80.62954885537857,TGO,538.16537776929,15.46995354,10.4570598974873
2003,80000000.0,3112889,71.86794757631537,3.89111125,NGA,763.388745367223,39.0772438,29.3592591376198
2003,2987266.0,1153468,79.49518639329948,38.61283193394897,KEN,442.898457253405,25.71190262,29.103314991973
2003,6000000.0,2681404,70.98378605041233,44.69006666666667,GHA,358.39927142073,23.23123741,8.13639297693297
2003,545537.0,374556,68.65822116556714,68.65822116556714,COM,959.787894504834,63.81992722,31.6201289990803
2003,34000000.0,2335561,60.45562497007065,6.86929705882353,TZA,422.18359375,20.26038742,10.1362371194278
2003,12429409.0,0,0,0,UGA,250.71543664681,14.2323103,17.0321532501804
2004,13194581.0,6239697,74.27177982870953,47.28984573288079,BFA,403.81283743461,17.09873199,13.1317299489599
2004,545537.0,397314,77.6921948787141,72.82989054821213,COM,1091.27216412426,70.50469971,32.1413169353801
2004,1063185.0,889393,83.5398677290672,83.65364447391565,TGO,560.266308533382,16.90148544,10.7455796253713
2004,2987266.0,0,0,0,KEN,463.662781300121,27.75096512,29.4748031581827
2004,4362588.0,1127825,76.73380328741064,25.852200574521362,BEN,758.695803786371,25.34852219,10.3400677635835
2004,80000000.0,3236206,77.12186003416404,4.0452575,NGA,962.48104194733,44.16435242,30.0532638422315
2004,12429409.0,1158772,53.456314737424336,9.32282460091224,UGA,292.38185796262,18.61294365,17.2487008096089
2004,10205132.0,3971869,73.85205265088712,38.920309898980236,GHA,406.132105329565,25.61305428,9.05994534742738
2004,34000000.0,4225469,65.31094140566313,12.42785,TZA,450.385284423828,23.29498863,11.3353000997634
2005,572171.0,0,0,0,COM,1103.20658498402,67.78135681,32.6181080742434
2005,12429409.0,3483384,70.8751227664742,28.025338936066873,UGA,330.405402707025,25.88375473,17.4642525560946
2005,13590357.0,10493483,77.21271045344872,77.21271045344872,BFA,441.164148016012,17.50115776,13.9805995453405
2005,2987266.0,1213229,72.30967014418675,40.61335682861854,KEN,523.456312433863,31.13827515,29.848047955005
2005,1064633.0,926769,84.75486295920327,87.05056108536932,TGO,551.259850017077,17.79439926,11.1773052397302
2005,15821728.0,585550,81.36684629301791,3.700923186139972,MDG,305.812074924388,16.26181221,6.12117429647739
2005,10205132.0,5135002,74.41638232180472,50.317840082813234,GHA,478.611909191028,39.75449371,10.0024406425603
2005,11408323.0,476836,83.150554266114,4.179720367314284,MLI,461.457920288884,24.62482452,22.1609320906388
2005,34126624.0,928339,79.91699587389778,2.7202778686810625,TZA,483.334869384766,27.53238869,12.5338225447733
2005,80000000.0,3400000,64.15094339622641,4.25,NGA,1211.37703504386,53.92662048,30.7689136768009
2005,4799900.0,1516490,75.414133989894,31.594199879164147,BEN,779.437777753268,25.97800064,10.814694218731
2006,80000000.0,3344896,74.35425379574151,4.18112,NGA,1599.53891556365,65.7237854,31.5068482626807
2006,1118424.0,954216,85.31791163279759,85.31791163279759,TGO,552.50227125256,18.60928154,11.6195512765709
2006,10510647.0,6032545,70.87287117164523,57.39461138786223,GHA,906.441027564887,45.96789932,10.9638541974486
2006,12429409.0,0,0,0,UGA,346.518255310647,31.62604523,17.6794433895241
