CountryCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AGO,27.5575243295056,28.9892228999424,30.4224688661868,31.8560605984651,33.2903908906274,34.7226378362301,35.9912829408025,37.2593050122209,38.5275103563643,39.7942707753161,41.0607923213848,42.3266654473422,43.5914724861148,44.8547922195447,46.1170299677134,47.3744826098829,48.6279413330122,49.8769829625562,51.120743995819,51.3936226824603,51.6603294206642,51.9216843631804,52.1772757616933
BDI,45.2147429343412,45.4235595145127,45.634367840651,45.8472924386413,45.8686367474088,45.8870569615053,45.9023891144522,45.91453002842,45.9232637088484,45.9285444534239,45.930071391903,45.9277113706051,45.9213248562526,45.9106159973544,45.8955074527913,45.8757132011188,45.8510198644704,45.8212039832592,45.7860370850932,45.7452763887701,45.7275099507196,45.7093313882006,45.6906846411766
BEN,8.60566700510411,9.00424752605042,9.42522879725803,9.87676965998667,10.3400677635835,10.814694218731,11.3007400084745,11.7983015321379,12.3071178648893,12.8267358396861,13.3574318576564,13.8991204082012,14.4517136045026,15.0147440721455,15.5894570732653,16.17540036159,16.7724928532971,17.3806539321045,17.9998030901084,18.6298545928192,19.2707223290055,19.3816144059671,19.4935017104267
BFA,10.1878990848946,10.5063052772592,11.3937425930332,12.2686574331796,13.1317299489599,13.9805995453405,14.8159146955023,15.5707854905595,16.2596775904484,16.9336302229932,17.5931679395271,18.2380244727644,18.8675829272628,19.4816080899317,20.0801867081172,20.6627379954545,21.2290233625521,21.7779198987319,22.3095685822615,22.8240692453658,23.3206825506615,24.0411194450571,24.7564935540426
BWA,51.9161128230796,53.3312371934366,54.6351373300919,55.9306253316382,57.2354398758653,58.5484651662334,59.8707817877325,61.6023323152472,63.3424578727978,65.0869031781855,66.8374083076875,68.5923179945414,70.1498597100217,71.6801447936656,73.2176947943605,74.7620657947833,76.0173129165427,77.2692231997295,78.5138974205166,79.751688865621,80.026238683341,80.2922288193525,80.5508168196432
CAF,20.5939673265979,20.5472815173527,20.5005931077099,20.4536056364778,20.40631886511,19.9721489886999,19.5450444000148,19.1248922472729,18.7110296424231,18.3030851796557,17.9009514050434,17.504011935079,17.1121604556915,16.7250416362785,16.3420826919898,15.9631874719448,15.5882420568199,15.2164875035595,14.847835432135,14.4819824288711,14.1186346735747,13.7575067532956,13.8462938417752
CIV,20.683503003502,21.2855190678722,21.8879803598737,22.4905747331287,23.0936137803389,23.818461396621,24.5514184482042,25.2923605973269,26.0411623083941,26.7970814130263,27.5606050351637,28.3316063644831,29.1096545103652,29.894622861839,30.6863860760485,31.4875187108368,32.2972577718512,33.115740904564,33.9428009638578,34.7779674572536,35.6210684573158,36.2910379646523,36.9620839390068
CMR,38.2963191886427,38.3301303382151,38.3674033125202,38.59076542374,38.8160973579278,39.042535815984,39.2707706827341,39.5008711555613,39.7329093241941,39.9666331909279,40.2024295671356,40.4400396496545,40.679527922419,40.9206144735396,41.16335571391,41.4078037782764,41.6540121133768,41.9013320538743,42.1505011655075,42.4008580058119,42.6527994756676,42.9056321489974,43.119165338496
COD,23.7477301582402,23.2925769390313,22.8409802290181,22.392974466149,21.9485955381886,21.5079475709645,21.0891378494807,20.6788066870991,20.2769264617238,19.8835864068139,19.4987268908352,19.1224516966063,18.7546676228376,18.3953627320994,18.044594711176,17.7022826880082,17.3684019576228,17.0428366780056,16.7256344876716,16.4166624601584,16.1158647638764,16.146171281979,16.1744725542393
COG,11.9201110505529,11.9684716643306,12.2942565476214,12.6236774657936,13.0815252399964,13.5511103750175,14.032535254429,14.5260420328821,15.0320394097892,15.5506898875387,16.0823109686403,16.6267536896129,17.1843319776117,17.7552084286539,18.3393599953142,18.9369277755163,19.5480531851066,20.1728786215665,20.2685712894315,20.3642631107744,20.459745939771,20.5548102087559,20.5548102087559
