Year,"Population requiring PC for STH, Pre-SAC",Number of Pre-SAC targeted,Reported number of Pre-SAC treated,"Drug combination, Pre-SAC","Programme coverage, Pre-SAC (%)","National coverage, Pre-SAC (%)","Population requiring PC for STH, SAC",Number of SAC targeted,Reported number of SAC treated,"Drug combination, SAC","Programme coverage, SAC (%)","National coverage, SAC (%)",CountryCode
2020,182807,,,, ,,362072,1633590.0,1538096.0,Ivm+Alb,94.15434717401551,39.48220243487483,TCD
2020,797251,5711478.0,5506830.0,Alb,96.41689944354158,100.0,1598271,3589561.0,3207198.9422434354,Ivm+Alb,89.34794372469044,72.42036250602304,CIV
2020,,,,, ,,1598271,473474.0,443474.0,Pzq+Alb,93.66385482624177,72.42036250602304,CIV
2020,3336102,,,, ,,7568003,,,, ,,GHA
2020,No PC required,,,, ,,No PC required,631188.0,722491.0,Ivm+Alb,114.46526233071606,,BFA
2020,2181604,283785.0,216142.21276595743,Ivm+Dec+Alb,76.16407236674152,6.077628535428179,5199496,676352.0,515138.9404255318,Ivm+Dec+Alb,76.16432573948651,67.41775855918473,MDG
2020,4710199,,,, ,,10971313,,,, ,,ZAF
2020,1130138,1528445.0,1770590.0,Alb,115.84257202581709,98.7672301966662,2781877,3762330.0,3369257.0,Alb,89.55240502560913,92.1513064740102,RWA
2020,25859,14951.0,7501.0,Ivm+Dec+Alb,50.17055715336767,29.00730886731892,55082,54109.0,41329.0,Ivm+Dec+Alb,76.38100870465172,75.03177081442215,STP
2020,,,,, ,,5199496,2842775.0,2411635.0,Mbd,84.8338331383947,67.41775855918473,MDG
2020,11037331,,,, ,,20554956,1913814.0,1755164.0,1*Alb,91.71027069506232,5.506637912530681,COD
2020,2160042,,,, ,,5474587,3403532.0,2945089.0,Pzq+Alb,86.53037491641037,53.79563791752693,MWI
2020,1196070,,,, ,,2638395,5477144.0,4708208.0,Mbd,85.9610044943131,51.814758593766285,CMR
2020,2181604,192942.0,139549.40425531915,Dec+Alb,72.32712641898557,6.077628535428179,5199496,459842.0,332592.7468085106,Dec+Alb,72.32761400840084,67.41775855918473,MDG
2020,,,,, ,,11230958,9412688.004504504,6586882.549549553,Mbd - round 2,69.97876213890609,62.49,UGA
2020,48176,,,, ,,96537,,,, ,,GNQ
2020,No PC required,5160.0,4780.0,Dec+Alb,92.63565891472868,,No PC required,12901.0,11085.0,Dec+Alb,85.92357181613829,,ERI
2020,5280778,4425832.995495496,3097143.4504504497,Mbd - round 2,69.97876904986352,61.98,11230958,8963814.171171168,6319388.770270271,Mbd - round 1,70.4988819446333,62.49,UGA
2020,5280778,4214771.82882883,2971368.229729729,Mbd - round 1,70.4989107454339,61.98,11218730,1038872.0,927641.0,Pzq+Mbd,89.2930986685559,62.49,UGA
2020,208460,2700035.0,1469845.0,No data,54.437998025951515,100.0,469476,3491.0,3491.0,Mbd,100,0.0,SSD
2020,No PC required,,,, ,,No PC required,,,, ,,MLI
2021,900937,,,, ,,1689255,2010142.0,2000175.0,Alb,99.50416438241676,95.37210190290986,TGO
2021,,,,, ,,15786379,9963120.0,7865871.0,Pzq+Alb,78.94987714691783,72.58300336004856,TZA
2021,156555,,,, ,,441204,,,, ,,ZWE
2021,,,,, ,,15786379,3411623.0,2744503.0,Alb,80.44567057966252,72.58300336004856,TZA
2021,14318,,,, ,,28183,,,, ,,BWA
2021,4710199,,,, ,,10971313,,,, ,,ZAF
2021,,,,, ,31.44274808115723,3116121,106091.0,107843.0,Mbd,101.65141246665598,34.35408958766364,ZMB
2021,1461558,624575.0,805120.0,,128.90685666253052,31.44274808115723,3116121,1331634.0,1637114.0,Dec+Alb,122.94023733248025,34.35408958766364,ZMB
2021,1827015,12067.0,4470.0,Pzq+Alb,37.0431756028839,7.317619176635112,3185863,774634.0,520910.0,Pzq+Alb,67.24595099104867,40.44938529999564,AGO
2021,,,,, ,,12983560,12983560.0,11814939.0,Mbd - round 2,90.99922517398926,96.30256262535084,UGA
2021,6104853,,,, ,,12983560,12942777.0,10194546.0,Mbd - round 1,78.76629567209572,96.30256262535084,UGA
2021,,,,, ,,1280474,1109715.0,867580.0,Alb,78.18043371496285,80.20686089682415,BEN
2021,468194,,,, ,,1280474,207321.0,159448.0,Pzq+Alb,76.90875502240488,80.20686089682415,BEN
2021,213255,,,, ,,480271,1614536.0,2012033.0,Ivm+Alb,124.6198907921533,50.965392455509495,SSD
2021,No PC required,,,, ,,No PC required,,,, ,,BFA
2021,1827015,499035.0,129224.0,Alb,25.89477691945455,7.317619176635112,3185863,889162.0,780912.0,Alb,87.82561557961316,40.44938529999564,AGO
2021,7678690,,,, ,,15786379,2155534.0,976112.0,Ivm+Alb,45.28399923174489,72.58300336004856,TZA
2021,,,,, ,,372846,487661.0,471269.0,Pzq+Mbd,96.63864856939554,55.371386577836425,TCD
2021,107377,,,, ,,223473,,,, ,,NAM
2021,,,,, ,,4532345,87695.0,90822.0,Mbd,103.56576771765779,56.904428060970645,MDG
2021,8544786,,,, ,,20484554,770197.5380188485,638009.0979999999,Ivm+Alb,82.83707315413236,25.16040622607649,ETH
2021,1209588,1358771.321491344,1359742.0,Alb,100.0714379596701,92.61897439458726,3006750,3180166.312900472,3006657.0,Alb,94.544017644718,88.66377317701838,RWA
2021,578158,,,, ,,950336,582230.0,355358.0,Ivm+Alb,61.03395565326417,69.30801316586975,CAF
2021,,,,, ,,950336,620832.0,742546.0,1*Alb,119.60498170197414,69.30801316586975,CAF
2021,260833,,,, ,,551002,777443.0,605623.7599999999,Ivm+Alb,77.8994421455978,73.25490651576582,LBR
2021,116723,,,, ,,270698,,,, ,,LSO
2021,152510,,,, ,,277093,,,, ,,GAB
2021,132339,,,, ,,254925,86338.0,112702.0,Ivm+Alb,130.5358011536056,27.46141021869177,GNB
2021,,,,, ,,254925,32476.0,29430.0,Alb,90.62076610420003,27.46141021869177,GNB
2021,,,,, ,,30192392,6481781.0,4867739.02,Mbd,75.09878874340247,27.463003461269317,NGA
2021,17252796,,,, ,,30192392,7310734.0,6551358.85,Ivm+Alb,89.61287402879108,27.463003461269317,NGA
2021,202700,,,, ,,372846,1620412.0,1576097.0,Ivm+Alb,97.26520168944688,55.371386577836425,TCD
2021,,,,, ,,1654975,956055.0,854589.0,Alb,89.38701225347914,87.8603000045318,CIV
2021,No PC required,,,, ,,No PC required,,,, ,,MLI
2021,,,,, ,,1654975,462225.0,383853.0,Pzq+Alb,83.04462112607497,87.8603000045318,CIV
2021,No PC required,,,, ,,No PC required,,,, ,,MRT
2021,No PC required,,,, ,,No PC required,,,, ,,NER
2021,88728,7524.0,7139.0,Dec+Alb,94.88304093567251,6.125462086376341,188966,15028.0,14246.0,Dec+Alb,94.79638009049773,8.222643226823873,COM
2021,,,,,,,188966,21509.0,20409.0,Ivm+Dec+Alb,94.88586173229811,8.222643226823873,COM
2021,,,,, ,,551002,64008.0,46025.0,Alb,71.9050743657043,73.25490651576582,LBR
2021,2488819,1286215.0,935242.0,Mbd,72.71272687692182,37.57774269643554,5610030,2899248.0,2483792.0,Mbd,85.67021517303797,44.27413044137019,KEN
2021,,,,, ,,512778,919644.486,747572.0,Alb,81.28923854603526,66.24465168162442,COG
2021,,,,, ,,512778,113746.13,79859.0,Pzq+Alb,70.20810290424826,66.24465168162442,COG
2021,,,,, ,,20484554,5687070.821917773,4915242.0,Mbd,86.42835923647773,25.16040622607649,ETH
2021,,,,, ,,20484554,316917.96757999004,184564.7842415727,Pzq+Mbd,58.2373999337821,25.16040622607649,ETH
2021,,,,, ,,512778,143314.0,117314.66946484784,"1*Alb, 2*Alb",81.85848518975665,66.24465168162442,COG
2021,,,,, ,,8297181,710753.0,731217.0,Alb,102.87919994709836,11.09230954465137,MOZ
2021,4444911,,,, ,,8297181,208969.0,189132.0,Pzq+Alb,90.50720441788016,11.09230954465137,MOZ
2021,341851,95542.0,78209.77964323189,"1*Alb, 2*Alb",81.85905637649608,18.883080640395963,512778,44946.0,37647.61664564943,Ivm+Alb,83.76188458516759,66.24465168162442,COG
2021,825537,,,, ,,1654975,1173490.0,1080220.954653938,Ivm+Alb,92.05199487459953,87.8603000045318,CIV
2021,2058018,,,, ,,4532345,2968394.3250000007,2488283.0,Pzq+Mbd,83.8258912922561,56.904428060970645,MDG
2021,1209588,1562018.4470284558,1456139.0,Mbd,93.22162633675177,92.61897439458726,3006750,3766445.654141556,3458828.0,Mbd,91.83268039980076,88.66377317701838,RWA
2021,125745,20383.0,23803.40486103132,Alb,116.78067439057705,36.04198974114279,262038,42914.0,49603.59513896869,Alb,115.5883747470958,36.04248238805059,GNQ
2021,,,,, ,,866740,621114.0,617916.0,Pzq+Alb,99.48511867386664,6.320003691995292,SEN
2021,,,,, ,,18388355,4126283.55,4485197.0,2*Alb,108.69822554972018,86.2228187350092,COD
2021,787963,,,, ,,1612883,2402386.0,2336298.0,Ivm+Alb,97.24906821801326,97.10834573865556,GIN
2021,125745,28749.0,21518.018356622844,1*Alb,74.8478846451106,36.04198974114279,262038,58652.0,44841.10895001474,1*Alb,76.45282164293586,36.04248238805059,GNQ
2021,,,,, ,,18388355,2380853.92,2146457.0,Pzq+Alb,90.15492223059196,86.2228187350092,COD
2021,,,,, ,,18388355,6257700.0,5721472.0,Alb,91.4309091199642,86.2228187350092,COD
2021,438032,,,, ,,866740,433407.0,517662.0,Ivm+Alb,119.44015671182053,6.320003691995292,SEN
2021,45884,,,, ,,104131,,,, ,,CPV
2021,263048,1391202.0,1458525.0,Alb - round 2,104.83919660840051,99.95019920318724,704071,3414134.0,3502535.0,Alb - round 2,102.58926568201483,96.95556272023704,BDI
2021,263048,1391202.0,1453682.0,Alb - round 1,104.49108037510008,99.95019920318724,704071,3414134.0,3660847.0,Alb - round 1,107.22622486405045,96.95556272023704,BDI
2021,411446,,,, ,,856075,436820.0,432869.0,Ivm+Alb,99.09550844741541,98.93735946032766,SLE
2021,,,,, ,,856075,1490003.0,1508006.0,Alb,101.20825260083367,98.93735946032766,SLE
2021,,,,, ,,No PC required,1223461.0,982404.0,Pzq+Alb,80.29712430555612,,GHA
2021,No PC required,,,, ,,No PC required,271243.0,190834.0,Ivm+Alb,70.3553640093938,,GHA
2021,No PC required,,,, ,,No PC required,,,, ,,ERI
2021,6641079,,,, ,,18388355,12106691.35,11133271.0,Ivm+Alb,91.9596500657465,86.2228187350092,COD
2021,14055,32217.0,11601.0,Alb,36.00893937983052,58.512984702952686,39043,36419.0,18079.0,Alb,49.64167055657761,42.7554235074149,GMB
2021,2217498,1407539.0,1466862.0,Alb - round 1,104.21466119233642,77.965707297143,5620209,,,, ,,MWI
2021,26347,12158.0,12070.0,Alb/Mbd,99.27619674288535,45.81166736250806,56123,37404.0,35634.0,Alb/Mbd,95.26788578761631,63.49268570817669,STP
2021,2217498,1569475.0,1569753.0,Alb - round 2,100.01771292948278,77.965707297143,,,,, ,,MWI
2021,3457,,,, ,,13202,,,, ,,SWZ
2021,1189314,4012333.0,3958071.454282017,Mbd,98.64763104861976,69.49695370608603,2488713,7385.0,7310.0,Ivm+Alb,98.9844278943805,77.84324669015672,CMR
2021,,,,, ,69.49695370608603,2488713,7332403.0,5723450.0,Mbd,78.05694804281761,77.84324669015672,CMR
2022,,,,,,,1697173,1236203.0,1159987.0,Alb,93.83466954860974,92.96,CIV
2022,,,,,,,587679,151864.2329,130135.55293043,2*Alb,85.6920358700406,65.02,COG
2022,252207,,,,,,587679,43250.6827,35917.5108,Ivm+Alb,83.04495688342047,65.02,COG
2022,No PC required,,,,,,No PC required,,,,,,MLI
2022,,,,,,,13397219,5392626.0,4917991.0,Pzq+Mbd,91.19844394920025,100.0,UGA
2022,,,,,,,19866163,8233942.0,7111531.0,Alb,86.3684854714789,89.95,COD
2022,5793,,,,,,14304,,,,,,SWZ
2022,,,,,,,587679,110046.0,89458.0,Pzq+Alb,81.2914599349363,65.02,COG
2022,7593271,231558.0,98988.0,Alb,42.748684994688155,1.3,16877599,5109206.012356608,4510996.0,Alb,88.29152688480679,49.36,TZA
2022,2366857,,,,,,5470648,1228097.0,1119987.0,Pzq+Alb,91.19694942663324,20.47,MWI
2022,6299355,5630221.0,4214806.0,Mbd - round 1,74.86040068409393,75.57,13397219,13397219.0,12621347.0,Mbd - round 1,94.20870853869002,100.0,UGA
2022,6299355,5647375.0,4127665.0,Mbd - round 2,73.08997543106311,75.57,13397219,13397219.0,13870267.0,Mbd - round 2,103.53094175739011,100.0,UGA
2022,,,,,,,587679,979386.0,825111.0,Alb,84.24778381557425,65.02,COG
2022,1550479,434138.0,399858.0,Dec+Alb,92.10389323210592,34.79705303973804,3974040,1112741.0,1415663.0,Dec+Alb,127.22304651306997,35.20435123954464,KEN
2022,,,,,,,19866163,2701103.0,2326105.0,Pzq+Alb,86.1168567063159,89.95,COD
2022,1550479,999412.0,1115559.0,Alb,111.62153346167547,34.79705303973804,3974040,2561591.0,2336892.0,Alb,91.22814688215254,35.20435123954464,KEN
2022,,,,,,,19866163,4277801.0,4294533.0,2*Alb,100.39113553903046,89.95,COD
2022,,,,,,,3279209,1110380.0,873444.0,Pzq+Alb,78.66171941137269,38.56,AGO
2022,1607300,1337940.0,161911.0,Alb - round 1,12.101514268203358,10.19,3279209,2376310.0,1204053.0,Alb - round 1,50.66902045608528,38.56,AGO
2022,6964182,,,,,,19866163,11560910.0,10824684.0,Ivm+Alb,93.63176428153147,89.95,COD
2022,No PC required,,,,,,No PC required,,,,,,MRT
2022,1607300,11220.0,5760.0,Alb - round 2,51.33689839572193,10.19,3279209,23946.0,22945.0,Alb - round 2,95.81976112920738,38.56,AGO
2022,116723,,,,,,270698,,,,,,LSO
2022,846588,,,,,,1697173,377492.0,357552.0,Ivm+Alb,94.71776885337967,92.96,CIV
2022,,,,,,,1697173,460970.0,417673.0,Pzq+Alb,90.60741479922771,92.96,CIV
2022,166780,335040.0,46362.0,Alb,13.837750716332378,3.9,386820,848989.0,671070.0,Alb,79.04342694663889,15.72,ZWE
2022,558283,,,,,,1401080,817376.0,642784.0,Pzq+Alb,78.63994049250283,72.84,BEN
2022,88728,,,,,,188966,,,,,,COM
2022,3927502,,,,,,8295335,8329880.0,9259058.0,Pzq+Alb,111.15475853193564,95.77,MOZ
2022,,,,,,,321403,9590.0,6707.0,Alb,69.93743482794578,37.64,GAB
2022,,,,,,,574077,226973.0,201127.0,Alb,88.61274248478894,78.41,SSD
2022,205731,,,,,,574077,2607530.0,2525222.0,Ivm+Alb,96.84344954803971,78.41,SSD
2022,1218695,1568988.0,1483157.0,Mbd - round 2,94.5295311372681,92.79,2999873,3862135.0,3541303.0,Mbd - round 2,91.69288489397704,91.75,RWA
2022,125745,,,,,,262038,,,,,,GNQ
2022,,,,,,,1696324,232103.0,216107.0,Alb,93.10823212108417,89.46,GIN
2022,,,,,,,2559589,3752640.0,2632256.0,Pzq+Mbd,70.14411187857081,44.13,CMR
2022,1383637,5329421.0,4525967.0,Alb,84.92417844264884,82.48,2559589,5306294.0,2115882.0,Mbd,39.8749485045495,44.13,CMR
